ID,CC_transfer,final_GPA,time_to_grad,extra_quarters,grad_on_time,graduated,total_units,gender,uc_ethnicity,first_gen_bachelors,ever_pell_fl,age_at_grad,CC_GPA_standard,entry_year,college_name,Calendar_Type
1,1,3.28125,2.0,0.0,1,1,78.0,Female,Hispanic,First Gen,Y,22.06,0.161955506,2018,SADDLEBACK COLLEGE,Semester
2,1,3.463736263,2.0,0.0,1,1,91.0,Female,Foreign,Not First Gen,N,22.02,0.554639707,2019,DE ANZA COLLEGE,Quarter
3,1,2.296774193,,,0,0,125.0,Female,Black Non-Hispanic,Unknown/Other,Y,,0.403781202,2019,GROSSMONT CMTY COLLE,Semester
4,1,2.978494623,2.0,0.0,1,1,98.0,Male,Asian or Pacific Islander,Not First Gen,Y,30.43,-2.393312244,2015,EL CAMINO COLLEGE,Semester
5,1,3.214457831,2.0,0.0,1,1,83.0,Male,Black Non-Hispanic,First Gen,N,34.44,-0.344991991,2016,LONG BEACH CITY COLL,Semester
6,0,3.724827586,2.5,2.0,0,1,79.0,Male,Asian or Pacific Islander,Not First Gen,Y,22.93,0.652509469,2016,UC SANTA BARBARA,Quarter
7,1,3.415294117,2.25,1.0,0,1,91.0,Female,Foreign,Not First Gen,N,25.05,0.563926631,2018,DIABLO VALLEY COLLEG,Semester
8,0,3.76835443,2.5,2.0,0,1,63.0,Female,Asian or Pacific Islander,First Gen,N,26.3,0.340609339,2018,CAMDEN COUNTY COLLEG,Semester
9,1,2.290625,2.75,3.0,0,1,105.0,Female,White Non-Hispanic,Not First Gen,N,22.99,-1.003699962,2015,MIRACOSTA COLLEGE,Semester
10,1,3.160273972,2.25,1.0,0,1,81.0,Female,Hispanic,First Gen,Y,30.56,-1.698506103,2015,CHAFFEY COLLEGE,Semester
11,1,3.61047619,2.5,2.0,0,1,105.0,Female,Asian or Pacific Islander,Not First Gen,Y,28.44,-0.284679078,2018,MOUNT SAN ANTONIO CO,Semester
12,1,3.365671641,2.0,0.0,1,1,88.5,Female,Asian or Pacific Islander,First Gen,Y,26.2,-0.150688703,2018,EAST LOS ANGELES COL,Semester
13,1,3.57875,2.0,0.0,1,1,88.0,Male,White Non-Hispanic,Not First Gen,N,22.45,0.742580464,2018,IRVINE VALLEY COLLEG,Semester
14,1,3.75,2.0,0.0,1,1,77.0,Female,Asian or Pacific Islander,First Gen,Y,24.82,0.958105613,2015,EAST LOS ANGELES COL,Semester
15,0,3.740963855,2.0,0.0,1,1,103.0,Male,Foreign,Not First Gen,N,22.69,0.59611161,2017,UC SANTA BARBARA,Quarter
16,0,3.948850574,2.0,0.0,1,1,97.5,Female,Hispanic,First Gen,N,21.94,0.928527673,2017,UC RIVERSIDE,Quarter
17,0,2.61588785,2.75,3.0,0,1,115.0,Female,Asian or Pacific Islander,First Gen,Y,25.03,0.845423657,2017,HAROLD WASHINGTON CO,Semester
18,1,3.911764705,2.25,1.0,0,1,87.0,Female,White Non-Hispanic,First Gen,Y,23.63,0.89190982,2016,GLENDALE COMMUNITY C,Semester
19,1,3.408108108,2.0,0.0,1,1,79.0,Female,Asian or Pacific Islander,Not First Gen,N,22.64,1.007215222,2019,LOS ANGELES PIERCE C,Semester
20,1,3.13030303,2.0,0.0,1,1,77.5,Male,Asian or Pacific Islander,Not First Gen,N,22.55,-0.276480553,2017,EL CAMINO COLLEGE,Semester
21,1,3.311842105,2.0,0.0,1,1,82.0,Female,Asian or Pacific Islander,First Gen,Y,24.82,0.998976562,2015,MOUNT SAN ANTONIO CO,Semester
